Blog	close	week	interesting	month	between	water	business	version	side	launch	home	america	good	director	them	image	twitter	video	second	through	announced	computer	than	several	white	personal	stop	web	own	challenge	such	according	public	x	put	most	seems	nice	product	store	see	give	live	won	trump	heard	wednesday	giving	asked	quickly	pretty	really	later	being	started	job	software	am	anything	party	those	st	outside	o	high	doesn	want	says	money	questions	today	evidence	think	why	published	blog	press	until	goes	again	cool	everyone	long	list	short	text	spread	simple	m	believe	where	hit	helps	else	something	ago	rather	early	search	talk	building	future	women	washington	do	came	got	apps	even	mind	team	name	become	learn	state	major	driving	any	yesterday	game	seen	focus	changed	united	run	our	friday	recently	across	perfect	season	written	links	interview	night	fine	love	creating	few	related	lights	seem	head	attack	president	yes	no	place	probably	different	only	need	tools	office	isn	technology	behind	least	down	better	campaign	youtube	late	event	bad	amazon	ready	top	four	yet	coming	face	security	important	both	national	tv	th	mother	kid	try	after	card	app	off	stuff	then	months	days	access	decided	minutes	these	family	him	deal	machine	sure	videos	tech	takes	process	available	quite	should	away	since	half	times	may	back	life	website	well	getting	care	start	big	taking	she	bit	under	nbsp	telling	still	hour	her	include	american	e	far	hard	self	look	been	report	told	easy	windows	light	wrote	years	part	series	recent	earlier	members	find	amp	general	clear	french	weeks	almost	middle	kids	every	way	great	didn	small	york	forward	morning	its	though	always	media	used	take	another	point	little	save	please	states	happy	b	microsoft	learned	issues	against	around	design	tool	space	group	car	photos	took	board	everything	check	company	data	does	events	internet	mdash	change	site	leave	don	became	often	service	did	over	said	together	ask	share	reason	amazing	ways	michael	meeting	facebook	matter	russian	going	via	running	pictures	whether	fact	buy	update	other	keep	makes	thing	pro	email	along	using	create	official	view	myself	online	wannacry	writing	say	free	idea	ll	also	were	posted	know	working	which	called	went	sunday	anyone	left	best	each	must	step	large	com	changes	john	actually	comes	ideas	found	post	making	guy	mr	man	someone	soon	companies	help	thought	google	same	products	moment	many	son	released	course	worked	past	health	saying	million	number	use	travel	room	directly	appeared	during	popular	made	co	done	tell	real	russia	order	pay	book	center	before	me	story	experience	music	two	living	trying	feel	go	information	could	shows	show	means	problems	last	books	open	previously	looking	serious	d	basically	set	feature	private	let	word	article	without	moved	end	thinking	because	devices	very	looks	might	next	he	house	school	support	full	year	come	p	play	right	latest	city	lot	impact	james	three	us	read	mobile	black	motion	too	case	ransomware	less	former	including	results	turn	massive	hours	original	ve	doing	weekend	make	possible	mark	reading	movie	work	old	nothing	stories	kind	led	never	power	once	based	already	page	had	especially	would	call	much	k	wouldn	hope	apple	while	news	line	test	enough	art	gets	social	world	ever	things	yourself	needs	his	phone
Lifehacker	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	1	1	0	2	0	0	0	0	1	4	1	2	2	1	0	0	0	0	0	0	0	0	1	1	3	4	0	0	0	0	2	3	1	2	0	0	0	1	0	0	0	0	1	0	0	1	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	3	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	1	0	8	0	0	0	1	1	1	0	1	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	2	2	4	0	0	0	1	0	0	0	0	0	1	0	0	4	2	0	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	2	1	1	0	0	0	2	1	0	3	1	0	5	0	1	0	0	0	0	0	1	3	0	1	0	4	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	2	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	25	0	0	2	3	0	2	1	0	0	0	0	1	1	0	3	0	2	2	1	0	0	0	3	1	0	0	1	0	2	0	1	0	1	0	0	2	1	1	0	0	1	0	0	2	2	0	0	1	0	1	3	3	0	3	2	0	1	3
Technology - The Huffington Post	0	4	0	2	1	1	1	0	0	0	7	1	1	3	11	0	14	6	1	8	2	2	12	5	1	19	2	0	4	1	6	6	4	1	2	10	2	7	1	1	6	2	4	1	15	0	3	2	1	1	1	3	2	3	1	2	3	1	0	0	3	0	1	2	1	3	9	4	1	1	3	4	1	5	0	0	2	1	1	0	0	0	1	0	0	0	4	0	2	3	2	3	2	4	1	0	2	2	2	1	1	1	7	1	4	0	1	0	5	2	0	1	1	0	3	1	5	4	1	1	5	0	0	4	5	32	8	1	2	0	0	2	0	1	7	2	3	3	1	4	0	2	0	6	9	0	12	7	2	10	1	7	3	2	1	4	2	2	3	5	3	0	2	0	2	12	1	1	6	5	1	4	18	3	4	5	0	0	3	0	1	7	0	4	5	1	2	1	3	6	1	5	5	3	1	1	2	0	0	6	3	0	0	2	3	2	0	2	2	57	3	9	15	3	3	0	1	0	2	4	0	4	50	0	6	0	0	3	8	5	2	1	5	3	13	2	9	2	9	0	2	2	3	1	4	0	1	3	13	1	2	2	3	1	1	1	4	3	3	0	1	0	3	4	30	5	3	4	18	2	7	2	1	0	1	3	1	12	9	0	3	5	1	2	2	2	1	3	6	2	2	1	5	8	2	3	0	6	21	3	0	1	7	0	1	3	3	4	43	1	0	1	4	1	2	1	2	2	0	2	2	2	1	2	4	1	0	0	6	1	1	1	0	3	2	2	1	2	0	1	5	3	0	1	1	0	3	9	13	4	4	2	13	4	1	2	2	1	1	1	0	3	8	9	2	0	1	0	0	4	16	3	1	0	3	3	2	5	4	1	8	0	2	0	4	2	6	2	1	2	4	0	4	0	24	2	0	1	1	2	1	7	4	0	1	2	5	2	0	2	2	8	9	5	3	0	3	0	1	3	7	6	14	3	0	1	0	8	0	5	0	0	0	7	2	0	3	4	2	0	2	5	0	0	1	7	6	0	1	3	0	18	0	2	0	4	7	3	0	0	4	2	4	2	4	1	3	9	1	1	0	0	3	6	9	1	5	9	0	4	3	0	0	4	2	0	5	5	1	0	9	4	1	2	5	0	0	3	2	4	4	3	1	17	0	9	3	4	0	0	0	1	3	19	2	0	0	1	0	6	9	5	2	0	0	11	2
Latest Items from TreeHugger	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1	1	0	0	0	1	0	0
All TPM News	6	13	0	1	7	1	2	0	1	0	3	1	4	34	9	0	8	3	2	5	3	0	2	4	37	3	3	0	8	1	5	13	12	0	2	3	3	0	0	0	0	2	1	3	140	2	2	0	12	3	0	1	3	3	1	5	0	1	0	0	6	0	1	0	2	1	4	4	3	5	0	2	14	6	8	0	21	3	0	2	0	0	3	1	0	0	0	0	10	6	6	1	0	1	0	0	0	2	2	6	1	3	0	8	7	2	1	0	3	1	6	2	3	1	6	4	0	15	0	0	1	3	2	4	2	9	18	0	2	1	0	1	0	4	0	0	0	2	1	2	0	2	7	0	55	0	18	2	0	1	5	4	0	11	0	0	1	1	0	7	14	0	2	1	1	0	0	3	2	2	3	2	8	2	3	5	0	0	2	0	0	15	0	0	3	0	3	3	3	2	3	0	1	3	9	1	0	7	0	0	0	3	1	0	13	1	6	3	10	12	3	0	0	8	1	3	0	1	1	24	1	3	4	4	2	3	14	2	3	3	1	0	0	4	9	7	15	0	0	0	4	5	7	0	2	2	3	0	1	12	3	1	0	4	2	11	1	1	0	4	1	8	2	4	4	3	0	2	0	8	3	0	2	0	0	3	1	1	0	2	4	5	1	0	0	0	3	0	0	2	0	1	0	0	0	5	2	0	3	7	0	3	11	2	5	0	4	22	80	1	6	2	3	0	1	3	1	0	2	9	7	0	1	0	11	2	0	0	2	1	1	2	1	3	0	0	0	2	0	0	0	0	0	6	0	0	0	20	12	0	6	1	12	3	3	11	0	4	2	0	1	0	0	5	4	3	0	1	0	1	4	5	0	2	0	2	1	1	3	2	0	2	0	0	2	3	2	4	1	2	5	6	1	2	0	0	1	2	1	7	0	9	3	0	2	0	19	2	0	0	1	14	4	1	2	0	8	0	1	1	4	2	6	1	3	1	2	8	1	2	0	2	3	11	0	0	0	5	2	0	0	3	1	4	2	8	0	3	0	0	4	116	46	16	1	1	7	3	0	0	0	0	1	1	2	22	1	0	0	0	0	0	1	1	0	0	20	5	0	9	1	0	0	2	3	0	9	10	3	0	0	2	3	0	2	0	4	4	0	2	1	1	1	9	0	18	2	4	0	0	8	0	3	17	4	0	0	0	3	0	0	1	2	0	4	68	0
Celebslam	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Joel on Software	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SimpleBits	0	1	0	0	1	1	1	1	0	0	0	0	3	0	3	0	0	2	5	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	4	0	4	5	0	0	6	0	0	0	0	1	1	2	2	1	0	1	2	0	0	0	0	0	0	0	6	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	2	0	0	0	0	0	0	1	5	1	0	0	1	1	2	0	0	0	0	1	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	2	0	1	0	0	0	3	1	0	3	2	2	3	1	0	4	2	0	0	0	3	0	6	0	0	0	1	0	0	1	6	0	0	0	0	0	1	3	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	2	1	1	0	0	2	0	1	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	3	2	1	1	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	8	3	1	1	1	0	4	1	1	0	1	0	2	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	8	0	0	6	0	1	0	2	0	0	1	1	0	0	0	0	2	1	3	2	0	0	2	0	4	0	0	0	0	1	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	6	3	0	1	1	0	1	0	6	2	0	0	1	2	6	0	0	0	0	0	2	2	0	0	2	0	0	1	0	1	0	2	0	0	0	1	0	2	2	4	0	0	0	0
Google Blogoscoped	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	1	1	0	0	1	1	0	0	0	4	0	0	0	0	0	1	1	3	0	1	0	2	4	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	2	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	2	0	1	1	0	2	2	1	0	0	1	0	0	1	0	0	3	0	0	6	4	0	0	2	0	0	0	0	0	3	1	2	0	0	0	0	1	3	0	0	2	0	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	6	2	2	2	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	3	0	0	0	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	1	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	0	0	0	1	3	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	0	1	3	2	0	2	1	2	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	1	4	1	4	0	1	6	1	1	2	1	0	0	0	0	0	0	0	0	1	0	2	2	0	1	1	0	0	0	4	0	1	1	0	0	0	4	1	0	2	0	1	0	0	0	2	3	6	2	1	0	2	2	5	1	1	0	1	1	4	3	0	0	0	0	1	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	28	1	0	0	0	0	0	0	0	2	0	0	0	5	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	1	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	2	0	1	2	0	2	0	0	0	0	0	1	5	1	1	0	0	1	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	2	1	0	1	0	0	1	0	1	0	0	4	2	0	3	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	3	1	11	0	4	0	2	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	4
kottke.org	4	2	1	1	7	5	1	1	4	3	4	2	5	1	12	0	6	31	4	3	0	6	13	6	3	1	0	3	2	0	0	1	4	4	1	12	2	1	0	2	6	0	4	1	1	2	0	2	5	1	4	5	3	6	2	2	2	5	3	1	2	0	0	0	8	2	5	3	1	4	7	4	4	6	0	0	0	3	2	1	2	3	8	5	2	0	0	2	9	2	8	0	0	0	3	6	1	0	0	4	2	3	2	0	8	4	5	0	8	5	1	1	3	0	1	0	0	3	5	0	5	2	0	0	0	5	0	5	0	1	0	2	0	6	3	1	2	1	5	0	0	0	1	0	0	1	11	6	3	3	2	3	0	0	2	2	0	1	6	4	0	1	1	0	1	0	1	0	0	1	2	1	1	2	0	4	2	3	4	0	4	6	0	1	6	3	14	2	0	2	2	3	10	6	3	0	2	2	2	0	4	1	2	1	1	3	0	1	7	1	10	7	1	5	5	1	4	2	2	16	3	0	198	2	10	1	10	3	2	1	1	2	2	6	10	1	4	3	1	3	0	13	5	2	1	2	4	7	0	0	2	3	0	3	4	1	4	6	10	5	4	0	0	1	13	3	2	5	9	3	2	4	7	0	2	0	0	3	0	3	1	3	8	2	1	6	3	0	3	4	0	3	10	1	3	5	0	0	0	0	4	0	14	2	4	1	3	8	9	1	0	0	2	3	3	3	0	1	0	0	7	11	3	3	2	1	1	4	13	2	3	4	0	0	2	5	2	1	3	1	0	0	1	4	1	0	1	10	13	0	15	1	14	5	4	0	3	3	8	4	0	0	2	1	0	0	3	2	0	4	4	3	1	5	4	1	1	1	4	5	0	2	0	1	8	0	1	1	2	2	0	2	3	1	3	2	2	0	0	2	0	12	0	4	1	7	0	1	0	7	0	8	17	3	3	4	6	3	2	0	7	0	3	3	2	2	1	1	7	2	3	2	0	3	1	3	0	0	3	0	1	1	0	7	3	4	2	10	7	0	2	36	0	4	1	3	1	3	1	0	5	1	0	3	0	5	2	7	4	1	5	2	2	0	0	5	0	2	5	0	1	1	4	15	4	0	8	1	1	2	10	5	5	4	4	0	0	5	3	0	0	2	6	11	0	10	1	8	1	2	2	0	6	2	1	5	2	4	1	7	9	3	4	1	3	20	1
MetaFilter	1	0	0	0	1	2	0	1	0	0	0	0	0	0	4	1	1	9	0	2	0	1	4	1	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	4	0	1	2	0	0	0	1	0	0	2	2	1	2	1	2	0	1	0	2	1	0	0	0	0	0	1	3	0	0	0	0	3	9	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	7	0	0	1	2	0	0	0	0	0	0	0	5	0	4	1	0	0	2	1	0	1	1	0	0	0	1	0	0	8	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	1	0	4	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	7	0	0	2	0	0	1	0	0	0	2	0	0	1	3	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	3	3	0	3	0	0	0	0	0	2	0	6	0	0	0	0	1	2	3	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	2	0	0	0	0	0	0	0	0	1	1	1	0	5	0	1	1	1	0	0	0	1	0	2	1	1	1	0	1	1	0	0	1	1	0	1	0	0	4	0	0	0	2	0	0	0	1	1	0	0	0	2	0	0	0	1	1	2	0	0	4	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	7	1	0	0	0	5	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	1	1	2	1	4	2	0	0	5	0	0	1	2	0	2	2	0	1	2	2	0	2	0	1	0	0	0	0	1	0	0	1	0	3	0	7	0	0	0	5	1	2	0	0	2	1	0	1	1	0	0	2	0	0	1	2	0	0	2	0	0	1	0	2	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	2	1	1	2	2	0	2	0	0	1	0	5	0	4	0	0	0	0	3	0	1	0	1	0	0	1	3	0	0	0	0	2	0
Eschaton	3	0	0	0	1	0	1	0	2	0	0	1	1	0	5	0	1	0	1	1	0	0	2	0	4	0	1	0	1	0	1	0	2	1	1	1	0	1	0	0	1	1	1	1	16	0	0	0	1	0	1	3	1	4	0	1	0	1	0	0	4	0	3	0	0	1	1	1	3	0	0	0	6	4	2	0	3	1	0	0	0	2	1	0	0	0	0	0	1	1	2	1	0	1	2	0	2	1	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	4	0	0	2	0	0	0	0	1	0	1	3	2	0	2	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	3	0	2	1	1	1	1	2	0	6	6	0	0	0	0	0	2	0	1	0	1	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	2	3	3	0	3	0	0	0	2	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	6	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	2	0	3	2	3	2	1	0	1	5	2	0	1	0	0	3	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	2	0	1	2	0	0	0	4	0	2	2	3	2	3	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	3	0	0	0	4	0	0	1	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	1	4	0	3	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	1	1	1	0	0	1	2	0	2	0	4	0	0	0	4	2	1	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	2	0	3	0	0	0	1	2	0	2	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	2	3	0	1	0	2	0	9	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	1	1	0	0	2	2	0	0	3	0	1	2	2	0	0	1	5	0	3	0	2	0	0	1	0	2	2	1	0	1	0	0	2	3	0	1	0	0	4	0
